year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1887,0.27,0.10,0.03,0.00,0.07,0.01,0.00,-0.03,-0.19,0.01,-0.07,-0.04,-0.03,0.12,-0.22,-0.04,0.20,-0.07,0.13
1888,0.27,0.10,0.03,0.00,0.07,0.01,0.00,-0.03,-0.21,0.02,-0.07,0.14,-0.04,0.12,-0.24,-0.04,0.18,0.10,0.28
1889,0.28,0.10,0.03,0.00,0.07,0.01,0.00,-0.03,-0.20,0.02,-0.07,0.19,-0.04,0.13,-0.24,-0.04,0.20,0.15,0.35
1890,0.29,0.10,0.03,0.00,0.07,0.01,0.00,-0.03,-0.22,0.02,-0.07,0.01,-0.04,0.13,-0.25,-0.05,0.19,-0.03,0.16
1891,0.29,0.10,0.03,0.00,0.07,0.01,0.00,-0.04,-0.21,0.02,-0.07,-0.13,-0.01,0.13,-0.25,-0.05,0.20,-0.14,0.06
1892,0.30,0.11,0.03,0.00,0.07,0.01,0.00,-0.04,-0.21,0.02,-0.07,0.07,0.01,0.13,-0.25,-0.05,0.21,0.07,0.29
1893,0.31,0.11,0.03,0.00,0.07,0.01,0.00,-0.04,-0.22,0.02,-0.07,0.20,0.03,0.14,-0.25,-0.05,0.22,0.22,0.44
1894,0.31,0.11,0.03,0.00,0.07,0.01,0.00,-0.04,-0.23,0.02,-0.08,0.20,0.05,0.14,-0.27,-0.05,0.20,0.24,0.45
1895,0.32,0.11,0.03,0.00,0.08,0.01,0.00,-0.04,-0.24,0.02,-0.08,0.20,0.03,0.14,-0.28,-0.05,0.21,0.23,0.43
1896,0.32,0.11,0.03,0.00,0.08,0.01,0.00,-0.04,-0.23,0.02,-0.08,0.20,0.00,0.14,-0.28,-0.05,0.21,0.20,0.41
1897,0.33,0.11,0.03,0.00,0.08,0.01,0.00,-0.04,-0.25,0.02,-0.08,0.20,-0.02,0.14,-0.29,-0.05,0.20,0.18,0.39
1898,0.33,0.11,0.03,0.00,0.08,0.01,0.00,-0.05,-0.26,0.02,-0.08,0.20,-0.02,0.15,-0.31,-0.05,0.20,0.18,0.38
1899,0.34,0.12,0.03,0.00,0.08,0.01,0.00,-0.05,-0.28,0.02,-0.08,0.20,-0.03,0.15,-0.33,-0.05,0.18,0.17,0.35
1900,0.35,0.12,0.03,0.00,0.08,0.01,0.00,-0.06,-0.29,0.02,-0.08,0.20,-0.04,0.15,-0.35,-0.05,0.18,0.16,0.34
1901,0.35,0.12,0.03,0.00,0.08,0.01,0.00,-0.06,-0.29,0.02,-0.09,0.20,-0.05,0.15,-0.35,-0.05,0.18,0.15,0.33
1902,0.36,0.12,0.03,0.00,0.08,0.01,0.00,-0.06,-0.30,0.02,-0.09,-0.04,-0.04,0.16,-0.36,-0.06,0.18,-0.08,0.10
1903,0.36,0.12,0.03,0.00,0.08,0.01,0.00,-0.07,-0.31,0.02,-0.09,-0.75,-0.03,0.16,-0.38,-0.06,0.17,-0.77,-0.60
1904,0.37,0.13,0.04,0.00,0.08,0.01,0.00,-0.07,-0.33,0.02,-0.09,-0.29,0.01,0.16,-0.40,-0.06,0.16,-0.28,-0.12
